0.680166	0.412783	0.355199
0.416154	0.300127	0.055381
0.631140	0.288409	0.050195
0.705485	0.781158	0.337585
0.995086	0.932249	0.637719
0.436074	0.876979	0.337206
0.130422	0.747682	0.312290
0.144602	0.057005	0.040613
0.730634	0.018287	0.534019
0.039525	0.430984	0.230176
0.502204	0.941640	0.130004
0.305263	0.661548	0.221919
0.377581	0.268210	0.211032
0.852305	0.214538	0.616484
0.768063	0.060017	0.447537
0.145072	0.842594	0.749919
0.916168	0.747742	0.240936
0.715942	0.127227	0.319882
0.774253	0.766576	0.631180
0.887893	0.646743	0.889417
0.515816	0.090143	0.898512
0.579783	0.392089	0.134489
0.278131	0.458387	0.247141
0.357359	0.919884	0.303080
0.539519	0.509394	0.200699
0.619645	0.911578	0.892662
0.151770	0.876667	0.894070
0.474417	0.799868	0.529455
0.977923	0.102440	0.813332
0.958032	0.428202	0.946930
0.827758	0.444182	0.215266
0.293960	0.826368	0.312569
0.438103	0.815498	0.950066
0.360909	0.614862	0.440991
0.112188	0.704210	0.215566
0.955504	0.792935	0.158071
0.812012	0.449433	0.388491
0.286047	0.219865	0.744770
0.489834	0.236073	0.007933
0.922938	0.466234	0.490956
0.749631	0.079185	0.728431
0.657920	0.391636	0.428539
0.046513	0.422224	0.114724
0.888331	0.297469	0.789836
0.061799	0.262272	0.017436
0.744172	0.308109	0.151103
0.133637	0.441896	0.448645
0.714800	0.250997	0.072784
0.177733	0.411341	0.868453
0.508647	0.235811	0.837042
0.899951	0.866325	0.098396
0.793449	0.875129	0.109733
0.782232	0.705796	0.194690
0.815974	0.143632	0.518025
0.815457	0.230520	0.044007
0.189364	0.740120	0.736443
0.757578	0.917479	0.686673
0.862723	0.996280	0.213176
0.312531	0.956605	0.926852
0.951668	0.368340	0.645029
0.555113	0.525415	0.156475
0.210117	0.852427	0.223511
0.669220	0.003723	0.999359
0.962645	0.781642	0.026047
0.121508	0.494620	0.874148
0.793312	0.892541	0.215433
0.259733	0.619500	0.379403
0.700923	0.790910	0.437152
0.504724	0.093975	0.021335
0.282237	0.501403	0.468291
0.297114	0.568070	0.734392
0.293721	0.152799	0.273307
0.264654	0.128159	0.387070
0.168991	0.530320	0.660999
0.193110	0.209669	0.520030
